"BehaviorSpace results (NetLogo 7.0.4)","Table version 2.0"
"ABM_Unit4_model7.nlogox"
"social-influence-experiment"
"07/08/2026 16:45:24:111 +0200"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","broadcast","density","social","frac-influential","m","network","influential-weight","[step]","count turtles with [adopted?]","count regulars with [adopted?]","count influentials with  [adopted?]"
"3","0.01","0.3","0.1","0.25","100","random","0.7","5","2","2","0"
"2","0.01","0.3","0.1","0.25","100","random","0.7","27","47","39","8"
"6","0.01","0.3","0.1","0.25","100","random","0.7","24","34","26","8"
"2","0.01","0.3","0.1","0.25","100","random","0.7","28","49","40","9"
"6","0.01","0.3","0.1","0.25","100","random","0.7","25","38","28","10"
"5","0.01","0.3","0.1","0.25","100","random","0.7","17","19","14","5"
"2","0.01","0.3","0.1","0.25","100","random","0.7","29","53","44","9"
"3","0.01","0.3","0.1","0.25","100","random","0.7","6","4","3","1"
"6","0.01","0.3","0.1","0.25","100","random","0.7","26","42","31","11"
"2","0.01","0.3","0.1","0.25","100","random","0.7","30","55","46","9"
"6","0.01","0.3","0.1","0.25","100","random","0.7","27","44","33","11"
"2","0.01","0.3","0.1","0.25","100","random","0.7","31","55","46","9"
"6","0.01","0.3","0.1","0.25","100","random","0.7","28","45","34","11"
"2","0.01","0.3","0.1","0.25","100","random","0.7","32","59","48","11"
"6","0.01","0.3","0.1","0.25","100","random","0.7","29","49","38","11"
"4","0.01","0.3","0.1","0.25","100","random","0.7","7","9","7","2"
"5","0.01","0.3","0.1","0.25","100","random","0.7","18","23","18","5"
"2","0.01","0.3","0.1","0.25","100","random","0.7","33","61","50","11"
"3","0.01","0.3","0.1","0.25","100","random","0.7","7","5","4","1"
"6","0.01","0.3","0.1","0.25","100","random","0.7","30","51","40","11"
"2","0.01","0.3","0.1","0.25","100","random","0.7","34","62","50","12"
"6","0.01","0.3","0.1","0.25","100","random","0.7","31","53","41","12"
"2","0.01","0.3","0.1","0.25","100","random","0.7","35","63","50","13"
"4","0.01","0.3","0.1","0.25","100","random","0.7","8","11","9","2"
"2","0.01","0.3","0.1","0.25","100","random","0.7","36","63","50","13"
"6","0.01","0.3","0.1","0.25","100","random","0.7","32","56","43","13"
"2","0.01","0.3","0.1","0.25","100","random","0.7","37","65","51","14"
"6","0.01","0.3","0.1","0.25","100","random","0.7","33","58","45","13"
"2","0.01","0.3","0.1","0.25","100","random","0.7","38","66","52","14"
"6","0.01","0.3","0.1","0.25","100","random","0.7","34","63","49","14"
"4","0.01","0.3","0.1","0.25","100","random","0.7","9","11","9","2"
"3","0.01","0.3","0.1","0.25","100","random","0.7","8","7","6","1"
"2","0.01","0.3","0.1","0.25","100","random","0.7","39","68","54","14"
"6","0.01","0.3","0.1","0.25","100","random","0.7","35","65","50","15"
"2","0.01","0.3","0.1","0.25","100","random","0.7","40","68","54","14"
"6","0.01","0.3","0.1","0.25","100","random","0.7","36","67","50","17"
